Algo,num_cluster,card,visit_m,seed_g,limits_,dim,sig,ave,objval,bound,x,num_pts,data_points,distance_matrix,Pow_pts_size,distance_matrix_new,chosen,data_added
AdNNnew ,4,3,1,444,"[1, 1]",2,0.1,0.5,0.402038724,0.402038724,"[1.0, -0.0, -0.0, 1.0, -0.0, 0.0, 1.0, 0.0, -0.0, -0.0, 1.0, -0.0]",12,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024; 0.335476 0.356804; 0.598933 0.45915],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.255661 0.16457; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.143081 0.177413; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.213507 0.106217; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.27408 0.0344434; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.241353 0.203966; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.245118 0.140577; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.251463 0.180037; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.289371 0.0591257; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.115096 0.168924; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.33347 0.15273; 0.255661 0.143081 0.213507 0.27408 0.241353 0.245118 0.251463 0.289371 0.115096 0.33347 Inf 0.282638; 0.16457 0.177413 0.106217 0.0344434 0.203966 0.140577 0.180037 0.0591257 0.168924 0.15273 0.282638 Inf],4095,0,"Any[[0.477025, 0.569703], [0.600996, 0.424769], [0.575144, 0.280692], [0.335476, 0.356804]]",9_13_2
AdGTSP ,4,3,1,444,"[1, 1]",2,0.1,0.5,1.985020544,1.985020544,"[1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 0.0, 1.0, -0.0, 1.0, -0.0, -0.0, 1.0]",12,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024; 0.335476 0.356804; 0.598933 0.45915],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.255661 0.16457 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.143081 0.177413 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.213507 0.106217 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.27408 0.0344434 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.241353 0.203966 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.245118 0.140577 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.251463 0.180037 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.289371 0.0591257 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.115096 0.168924 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.33347 0.15273 0.823141; 0.255661 0.143081 0.213507 0.27408 0.241353 0.245118 0.251463 0.289371 0.115096 0.33347 Inf 0.282638 0.489748; 0.16457 0.177413 0.106217 0.0344434 0.203966 0.140577 0.180037 0.0591257 0.168924 0.15273 0.282638 Inf 0.754678; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 0.489748 0.754678 Inf],4095,[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.255661 0.16457 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.143081 0.177413 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.213507 0.106217 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.27408 0.0344434 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.241353 0.203966 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.245118 0.140577 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.251463 0.180037 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.289371 0.0591257 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.115096 0.168924 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.33347 0.15273 0.823141; 0.255661 0.143081 0.213507 0.27408 0.241353 0.245118 0.251463 0.289371 0.115096 0.33347 Inf 0.282638 0.489748; 0.16457 0.177413 0.106217 0.0344434 0.203966 0.140577 0.180037 0.0591257 0.168924 0.15273 0.282638 Inf 0.754678; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 0.489748 0.754678 Inf],"Any[[0.477025, 0.569703], [0.489546, 0.547448], [0.57811, 0.514488], [0.557043, 0.606024]]",9_13_2
AdGTSP ,4,3,2,444,"[1, 1]",2,0.1,0.5,2.137635216,2.137635216,"[1.0, 4.20352e-11, 1.0, 1.0, 4.82774e-11, 1.0, 1.0, 1.0, 4.20352e-11, 1.0, -0.0, 1.0, 1.0]",12,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024; 0.335476 0.356804; 0.598933 0.45915],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.255661 0.16457 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.143081 0.177413 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.213507 0.106217 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.27408 0.0344434 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.241353 0.203966 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.245118 0.140577 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.251463 0.180037 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.289371 0.0591257 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.115096 0.168924 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.33347 0.15273 0.823141; 0.255661 0.143081 0.213507 0.27408 0.241353 0.245118 0.251463 0.289371 0.115096 0.33347 Inf 0.282638 0.489748; 0.16457 0.177413 0.106217 0.0344434 0.203966 0.140577 0.180037 0.0591257 0.168924 0.15273 0.282638 Inf 0.754678; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 0.489748 0.754678 Inf],4095,[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.255661 0.16457 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.143081 0.177413 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.213507 0.106217 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.27408 0.0344434 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.241353 0.203966 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.245118 0.140577 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.251463 0.180037 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.289371 0.0591257 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.115096 0.168924 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.33347 0.15273 0.823141; 0.255661 0.143081 0.213507 0.27408 0.241353 0.245118 0.251463 0.289371 0.115096 0.33347 Inf 0.282638 0.489748; 0.16457 0.177413 0.106217 0.0344434 0.203966 0.140577 0.180037 0.0591257 0.168924 0.15273 0.282638 Inf 0.754678; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 0.489748 0.754678 Inf],"Any[[0.477025, 0.569703], [0.421905, 0.470832], [0.498734, 0.494398], [0.600996, 0.424769], [0.4329, 0.57762], [0.489546, 0.547448], [0.575144, 0.280692], [0.57811, 0.514488], [0.43702, 0.410987], [0.557043, 0.606024], [0.598933, 0.45915]]",9_13_2
AdMST ,5,2,1,444,"[1, 1]",2,0.1,0.5,0.384176619,0.384176619,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",10,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf],1023,0,"Any[[0.477025, 0.569703], [0.498734, 0.494398], [0.489546, 0.547448], [0.575144, 0.280692], [0.43702, 0.410987]]",9_13_2
AdNNnew ,5,2,1,444,"[1, 1]",2,0.1,0.5,0.403111166,0.403111166,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]",10,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf],1023,0,"Any[[0.421905, 0.470832], [0.498734, 0.494398], [0.4329, 0.57762], [0.575144, 0.280692], [0.557043, 0.606024]]",9_13_2
AdGTSP ,5,2,1,444,"[1, 1]",2,0.1,0.5,1.994440588,1.994440588,"[1.0, -0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",10,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.823141; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 Inf],1023,[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.823141; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 Inf],"Any[[0.477025, 0.569703], [0.600996, 0.424769], [0.489546, 0.547448], [0.57811, 0.514488], [0.557043, 0.606024]]",9_13_2
AdMST ,5,2,1,444,"[1, 1]",2,0.1,0.5,0.384176619,0.384176619,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",10,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf],1023,0,"Any[[0.477025, 0.569703], [0.498734, 0.494398], [0.489546, 0.547448], [0.575144, 0.280692], [0.43702, 0.410987]]",9_13_2
AdNNnew ,5,2,1,444,"[1, 1]",2,0.1,0.5,0.403111166,0.403111166,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]",10,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf],1023,0,"Any[[0.421905, 0.470832], [0.498734, 0.494398], [0.4329, 0.57762], [0.575144, 0.280692], [0.557043, 0.606024]]",9_13_2
AdGTSP ,5,2,1,444,"[1, 1]",2,0.1,0.5,1.994440588,1.994440588,"[1.0, -0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",10,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.823141; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 Inf],1023,[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.743045; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.632208; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.702257; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.735951; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.721836; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.734408; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.639983; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.773892; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.599914; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.823141; 0.743045 0.632208 0.702257 0.735951 0.721836 0.734408 0.639983 0.773892 0.599914 0.823141 Inf],"Any[[0.477025, 0.569703], [0.600996, 0.424769], [0.489546, 0.547448], [0.57811, 0.514488], [0.557043, 0.606024]]",9_13_2
AdMST ,5,3,1,444,"[1, 1]",2,0.1,0.5,0.473299456,0.473299456,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",15,[0.477025 0.569703; 0.421905 0.470832; 0.498734 0.494398; 0.600996 0.424769; 0.4329 0.57762; 0.489546 0.547448; 0.575144 0.280692; 0.57811 0.514488; 0.43702 0.410987; 0.557043 0.606024; 0.335476 0.356804; 0.598933 0.45915; 0.62913 0.403371; 0.546552 0.440487; 0.649129 0.452729],[Inf 0.113198 0.0783724 0.190721 0.0448301 0.0255357 0.305213 0.115182 0.16368 0.0878747 0.255661 0.16457 0.225394 0.146734 0.208094; 0.113198 Inf 0.0803621 0.184919 0.107353 0.102202 0.244203 0.162191 0.0617237 0.191152 0.143081 0.177413 0.217929 0.128287 0.227944; 0.0783724 0.0803621 Inf 0.123716 0.106114 0.0538402 0.226955 0.0818788 0.103759 0.125937 0.213507 0.106217 0.159025 0.0720615 0.156061; 0.190721 0.184919 0.123716 Inf 0.2272 0.165744 0.146378 0.0925921 0.164553 0.186508 0.27408 0.0344434 0.0353469 0.0566674 0.0556654; 0.0448301 0.107353 0.106114 0.2272 Inf 0.0641807 0.329241 0.15834 0.166684 0.127351 0.241353 0.203966 0.262429 0.178107 0.249706; 0.0255357 0.102202 0.0538402 0.165744 0.0641807 Inf 0.280153 0.0944984 0.146221 0.0893695 0.245118 0.140577 0.200604 0.121204 0.185576; 0.305213 0.244203 0.226955 0.146378 0.329241 0.280153 Inf 0.233815 0.189881 0.325835 0.251463 0.180037 0.134033 0.162333 0.187272; 0.115182 0.162191 0.0818788 0.0925921 0.15834 0.0944984 0.233815 Inf 0.174982 0.0939286 0.289371 0.0591257 0.12227 0.0804492 0.0941168; 0.16368 0.0617237 0.103759 0.164553 0.166684 0.146221 0.189881 0.174982 Inf 0.229008 0.115096 0.168924 0.19226 0.113434 0.216177; 0.0878747 0.191152 0.125937 0.186508 0.127351 0.0893695 0.325835 0.0939286 0.229008 Inf 0.33347 0.15273 0.215092 0.165869 0.178827; 0.255661 0.143081 0.213507 0.27408 0.241353 0.245118 0.251463 0.289371 0.115096 0.33347 Inf 0.282638 0.297323 0.227059 0.327994; 0.16457 0.177413 0.106217 0.0344434 0.203966 0.140577 0.180037 0.0591257 0.168924 0.15273 0.282638 Inf 0.0634287 0.0556066 0.0506058; 0.225394 0.217929 0.159025 0.0353469 0.262429 0.200604 0.134033 0.12227 0.19226 0.215092 0.297323 0.0634287 Inf 0.0905359 0.0532557; 0.146734 0.128287 0.0720615 0.0566674 0.178107 0.121204 0.162333 0.0804492 0.113434 0.165869 0.227059 0.0556066 0.0905359 Inf 0.103306; 0.208094 0.227944 0.156061 0.0556654 0.249706 0.185576 0.187272 0.0941168 0.216177 0.178827 0.327994 0.0506058 0.0532557 0.103306 Inf],32767,0,"Any[[0.477025, 0.569703], [0.489546, 0.547448], [0.575144, 0.280692], [0.557043, 0.606024], [0.62913, 0.403371]]",9_13_2
